C:\Users\user\Desktop\AllenFace\현장\인천도화물류창고\01. 도면_01. 건축\1. DWG\인천도화물류 4층 CJ.dwg,모형,2023-12-03 오후 6:53:18,user,HP56384B (HP OfficeJet Pro 7720 series),A3,1:962.281,
C:\Users\user\Desktop\TERRY\AllenFace\현장\인천도화물류창고\01. 도면_01. 건축\1. DWG\1.검수평면도.dwg,모형,2023-12-20 오후 7:41:47,user,Microsoft Print to PDF,A3,1:952.406,
C:\Users\user\Desktop\TERRY\AllenFace\현장\인천도화물류창고\01. 도면_01. 건축\1. DWG\1.검수평면도.dwg,모형,2023-12-29 오후 6:41:11,user,Microsoft Print to PDF,A4,1:1351.8,
C:\Users\micro\OneDrive\바탕 화면\AllenFace\2.평활도\3월\3월12일\인천도화물류\1.검수평면도.dwg,모형,2024-03-13 오전 11:08:17,micro,Microsoft Print to PDF,A4,1:1414.29,
C:\Users\micro\OneDrive\바탕 화면\AllenFace\2.평활도\3월\3월12일\인천도화물류\1.검수평면도.dwg,모형,2024-03-13 오전 11:18:36,micro,Microsoft Print to PDF,A4,1:1414.29,
C:\Users\micro\OneDrive\바탕 화면\AllenFace\2.평활도\3월\3월12일\인천도화물류\1.검수평면도.dwg,모형,2024-03-13 오전 11:49:47,micro,Microsoft Print to PDF,A4,1:1414.29,
C:\Users\micro\OneDrive\바탕 화면\현대모비스 평택2공장 검수용평면도\현대모비스 평택2공장 검수용평면도\현대모비스 평택2공장 검수용 평면도.dwg,모형,2024-03-13 오후 5:28:01,micro,ApeosPort C2560,A3,1:800,
C:\Users\micro\OneDrive\바탕 화면\AllenFace\2.평활도\3월\3월12일\인천도화물류\1.검수평면도.dwg,모형,2024-03-13 오후 8:47:48,micro,Microsoft Print to PDF,A4,1:1414.29,
C:\Users\micro\OneDrive\바탕 화면\현대모비스 평택2공장 검수용평면도\현대모비스 평택2공장 검수용평면도\현대모비스 평택2공장 검수용 평면도.dwg,모형,2024-03-13 오후 9:47:42,micro,Microsoft Print to PDF,A3,1:800,
C:\Users\micro\OneDrive\바탕 화면\AllenFace\2.평활도\4월\왜관\A-401~406 평면도.dwg,모형,2024-03-13 오후 9:51:06,micro,Microsoft Print to PDF,A3,1:1000,
C:\Users\micro\OneDrive\바탕 화면\AllenFace\2.평활도\4월\왜관\A-401~406 평면도.dwg,모형,2024-03-13 오후 9:51:41,micro,Microsoft Print to PDF,A3,1:1000,
C:\Users\micro\OneDrive\바탕 화면\AllenFace\2.평활도\3월\3월20일\김해덕암물류\덕암물류 도면정리_2 (2).dwg,모형,2024-03-13 오후 9:59:32,micro,Microsoft Print to PDF,A3,1:800,
